hour,day_of_week,month,is_peak_hour,is_weekend,road_type,weather,traffic_density,speed,speed_limit,vehicle_type,vehicles_involved,vehicle_age,road_condition,road_width,alcohol_involved,driver_distracted,pedestrians_involved,visibility,temperature,humidity,junction_type,severity
22,Monday,1,0,0,Residential,Clear,3,54,40,Car,1,7,Wet,8,1,0,2,5,37,48,No Junction,Medium
15,Thursday,5,0,0,National Highway,Cloudy,6,10,80,Car,3,5,Good,10,0,1,0,5,23,37,Roundabout,Medium
22,Thursday,6,0,0,Urban Road,Rainy,5,29,40,Motorcycle,5,8,Slippery,8,0,0,0,9,28,63,Y-Junction,Medium
12,Thursday,4,0,0,Urban Road,Cloudy,1,59,40,Motorcycle,2,5,Dry,4,0,0,0,5,21,100,No Junction,Medium
10,Saturday,4,1,1,Urban Road,Rainy,5,22,40,Car,2,3,Slippery,3,1,0,0,7,38,75,T-Junction,Medium
14,Friday,5,0,0,Urban Road,Foggy,5,36,40,Auto,2,3,Dry,11,0,1,1,3,33,51,T-Junction,High
12,Sunday,5,0,1,Urban Road,Foggy,6,35,40,Car,2,5,Good,6,0,0,0,4,29,61,No Junction,Medium
6,Thursday,9,0,0,National Highway,Clear,5,52,80,Truck,1,8,Dry,3,0,0,2,8,25,48,Y-Junction,Medium
17,Friday,8,1,0,State Highway,Rainy,7,10,60,Motorcycle,2,0,Wet,12,0,1,0,6,41,70,T-Junction,Medium
8,Wednesday,9,1,0,Urban Road,Cloudy,5,58,40,Car,3,8,Slippery,9,1,1,0,8,31,33,Intersection,High
17,Monday,3,1,0,Urban Road,Cloudy,5,44,40,Car,1,3,Dry,12,1,0,2,7,40,72,No Junction,High
17,Monday,3,1,0,Highway,Clear,5,30,80,Car,1,0,Dry,9,0,1,0,7,28,65,No Junction,Medium
7,Tuesday,1,1,0,State Highway,Clear,7,19,60,Motorcycle,5,10,Dry,9,0,0,0,7,29,96,No Junction,Medium
5,Wednesday,10,0,0,Urban Road,Rainy,1,22,40,Car,1,2,Wet,6,0,0,1,6,33,75,T-Junction,Medium
19,Sunday,6,1,1,Residential,Foggy,3,32,40,Bus,4,11,Good,10,0,0,2,2,29,84,T-Junction,High
13,Thursday,4,0,0,National Highway,Clear,5,10,80,Car,4,9,Dry,13,1,0,0,6,29,79,No Junction,High
5,Thursday,11,0,0,Urban Road,Clear,4,67,40,Motorcycle,2,9,Dry,10,0,0,0,8,30,69,Intersection,Medium
23,Sunday,8,0,1,State Highway,Foggy,2,60,60,Car,2,6,Wet,6,0,1,1,2,33,76,T-Junction,High
5,Saturday,2,0,1,Urban Road,Clear,4,45,40,Motorcycle,5,8,Dry,4,0,0,0,6,23,69,No Junction,Medium
18,Wednesday,11,1,0,Residential,Rainy,5,10,40,Motorcycle,5,0,Wet,11,0,0,1,6,28,41,No Junction,High
23,Thursday,2,0,0,Urban Road,Cloudy,5,10,40,Car,2,5,Dry,8,0,1,1,7,24,76,No Junction,Medium
8,Tuesday,7,1,0,Urban Road,Foggy,7,10,40,Auto,3,7,Wet,8,1,1,0,1,31,60,No Junction,High
7,Friday,5,1,0,National Highway,Cloudy,6,17,80,Car,4,10,Dry,3,0,0,2,7,28,98,T-Junction,High
7,Monday,1,1,0,Residential,Rainy,4,56,40,Car,1,1,Dry,3,0,1,1,9,24,49,Intersection,Medium
9,Wednesday,7,1,0,Urban Road,Clear,5,39,40,Car,2,4,Slippery,8,1,0,1,7,36,37,Y-Junction,High
6,Monday,7,0,0,Urban Road,Rainy,3,52,40,Auto,4,7,Dry,5,0,1,0,5,35,81,Intersection,High
18,Friday,10,1,0,Highway,Heavy Rain,4,23,80,Car,4,8,Under Construction,8,0,0,0,2,35,20,T-Junction,High
5,Wednesday,6,0,0,Residential,Clear,5,32,40,Car,5,7,Slippery,10,0,0,1,9,35,83,T-Junction,Medium
14,Friday,4,0,0,Urban Road,Clear,5,45,40,Truck,3,0,Dry,6,0,0,0,6,31,84,Y-Junction,Medium
23,Thursday,12,0,0,State Highway,Foggy,7,29,60,Car,1,4,Good,8,0,0,1,4,32,58,Intersection,Medium
19,Sunday,8,1,1,Urban Road,Clear,5,29,40,Motorcycle,2,6,Dry,7,0,0,2,8,26,59,T-Junction,Medium
17,Thursday,12,1,0,Urban Road,Foggy,7,10,40,Bicycle,5,5,Slippery,16,0,0,2,1,36,43,T-Junction,High
9,Sunday,11,1,1,State Highway,Clear,4,63,60,Motorcycle,2,3,Wet,6,0,0,0,6,29,50,T-Junction,High
17,Thursday,2,1,0,Urban Road,Clear,6,10,40,Motorcycle,2,5,Dry,5,0,1,0,5,24,69,Roundabout,Medium
15,Friday,2,0,0,State Highway,Rainy,5,39,60,Bus,1,10,Good,6,1,1,3,6,30,76,Intersection,High
12,Friday,2,0,0,Residential,Clear,4,37,40,Car,2,16,Good,11,0,0,0,6,25,57,No Junction,Low
7,Friday,3,1,0,Urban Road,Rainy,10,23,40,Motorcycle,3,1,Wet,6,0,0,0,8,33,56,No Junction,Medium
20,Monday,6,1,0,Residential,Cloudy,5,39,40,Truck,1,6,Wet,10,0,0,0,6,32,69,T-Junction,Medium
13,Friday,1,0,0,Highway,Clear,1,72,80,Auto,2,7,Good,8,0,1,2,9,33,80,No Junction,High
8,Thursday,11,1,0,Urban Road,Cloudy,5,12,40,Motorcycle,2,9,Wet,8,1,0,1,5,19,66,Roundabout,High
11,Tuesday,2,0,0,Urban Road,Cloudy,8,49,40,Motorcycle,1,8,Dry,12,0,0,1,8,17,73,Intersection,Medium
12,Friday,10,0,0,Residential,Clear,7,30,40,Motorcycle,2,7,Wet,3,0,0,0,7,29,60,T-Junction,Medium
19,Tuesday,2,1,0,Highway,Clear,6,35,80,Motorcycle,4,7,Under Construction,8,0,0,0,7,29,27,Intersection,High
18,Sunday,12,1,1,Urban Road,Heavy Rain,6,44,40,Motorcycle,3,8,Under Construction,10,0,0,3,3,36,82,T-Junction,High
18,Thursday,1,1,0,Urban Road,Clear,9,21,40,Auto,2,3,Good,9,0,1,0,8,24,20,Roundabout,Medium
1,Friday,3,0,0,Highway,Rainy,7,10,80,Bus,2,7,Dry,3,0,0,1,7,22,45,Roundabout,Medium
12,Monday,10,0,0,Highway,Clear,1,52,80,Car,1,8,Slippery,4,0,1,1,9,23,68,No Junction,Medium
14,Monday,7,0,0,Urban Road,Cloudy,5,51,40,Car,1,3,Dry,8,0,0,0,7,21,51,Roundabout,Medium
1,Sunday,1,0,1,Urban Road,Clear,7,31,40,Truck,2,7,Slippery,3,0,0,1,7,25,66,T-Junction,Medium
8,Tuesday,7,1,0,Highway,Clear,7,44,80,Truck,2,0,Wet,6,0,0,0,5,21,92,T-Junction,High
18,Saturday,5,1,1,Highway,Clear,2,39,80,Bus,1,2,Dry,4,0,0,0,7,28,33,No Junction,Medium
7,Monday,9,1,0,State Highway,Clear,10,32,60,Car,2,2,Slippery,8,0,1,0,7,28,69,T-Junction,High
15,Monday,2,0,0,Residential,Clear,6,30,40,Motorcycle,2,1,Dry,7,0,0,1,6,23,31,Intersection,Medium
8,Monday,1,1,0,Urban Road,Rainy,4,51,40,Motorcycle,2,5,Dry,9,0,0,0,9,22,59,No Junction,Medium
1,Thursday,9,0,0,National Highway,Foggy,3,32,80,Car,1,5,Wet,5,0,0,3,3,21,50,Intersection,High
8,Monday,8,1,0,Highway,Clear,8,19,80,Bus,1,6,Slippery,8,1,0,0,5,13,35,Y-Junction,High
23,Wednesday,10,0,0,Urban Road,Clear,4,15,40,Motorcycle,5,5,Dry,8,0,0,0,8,23,91,T-Junction,Medium
19,Friday,6,1,0,State Highway,Foggy,9,10,60,Motorcycle,3,12,Dry,5,0,0,0,1,25,70,No Junction,High
22,Sunday,5,0,1,Residential,Rainy,5,39,40,Car,2,3,Dry,11,0,0,0,6,15,92,No Junction,Low
14,Monday,8,0,0,National Highway,Rainy,5,10,80,Motorcycle,1,1,Wet,10,0,0,0,7,36,48,No Junction,Low
6,Saturday,8,0,1,National Highway,Rainy,2,72,80,Auto,1,0,Dry,6,1,0,0,7,33,86,No Junction,High
15,Saturday,5,0,1,Highway,Foggy,4,41,80,Motorcycle,1,3,Slippery,5,0,0,0,2,26,74,Intersection,Medium
13,Monday,12,0,0,National Highway,Clear,9,36,80,Bicycle,2,3,Good,10,0,0,1,5,15,38,No Junction,Medium
20,Monday,7,1,0,National Highway,Heavy Rain,8,15,80,Bus,1,10,Wet,3,0,0,3,3,34,43,Intersection,High
6,Wednesday,1,0,0,Urban Road,Cloudy,6,21,40,Bus,2,4,Slippery,4,0,1,1,7,25,43,No Junction,Medium
14,Monday,4,0,0,National Highway,Clear,2,10,80,Motorcycle,1,5,Wet,9,0,0,0,8,18,70,No Junction,Low
7,Monday,2,1,0,Highway,Clear,6,35,80,Car,3,5,Dry,13,0,1,0,7,20,69,No Junction,High
10,Friday,10,1,0,Residential,Cloudy,7,42,40,Motorcycle,1,0,Dry,6,0,0,0,5,24,94,No Junction,Medium
18,Saturday,3,1,1,Urban Road,Clear,6,23,40,Motorcycle,2,10,Wet,6,0,0,0,6,22,45,No Junction,Medium
13,Wednesday,12,0,0,Highway,Rainy,7,10,80,Auto,2,3,Good,7,0,1,3,8,24,74,Roundabout,Medium
11,Saturday,1,0,1,Residential,Foggy,1,69,40,Truck,1,8,Under Construction,6,0,0,0,3,16,69,Intersection,Medium
12,Wednesday,11,0,0,Urban Road,Clear,5,58,40,Motorcycle,5,3,Good,6,0,0,0,9,36,49,No Junction,High
13,Saturday,11,0,1,Residential,Rainy,4,44,40,Car,1,3,Good,6,0,0,0,9,33,80,Intersection,Low
19,Monday,2,1,0,Urban Road,Clear,9,25,40,Motorcycle,1,2,Dry,8,0,0,2,6,23,58,No Junction,Medium
21,Saturday,1,0,1,Urban Road,Clear,4,66,40,Car,2,4,Dry,10,0,0,0,9,33,67,No Junction,Medium
22,Saturday,8,0,1,Highway,Rainy,2,56,80,Motorcycle,2,8,Wet,8,0,0,1,6,25,67,Intersection,High
19,Wednesday,4,1,0,Residential,Clear,2,50,40,Car,5,0,Slippery,7,0,1,0,7,28,52,Y-Junction,High
10,Sunday,3,1,1,State Highway,Clear,5,57,60,Auto,1,9,Wet,6,0,0,0,9,20,72,Intersection,Medium
17,Tuesday,1,1,0,Residential,Clear,7,26,40,Truck,2,9,Under Construction,4,0,0,1,9,31,76,No Junction,Medium
12,Wednesday,2,0,0,Residential,Clear,4,16,40,Car,2,4,Slippery,4,0,1,3,8,32,87,Y-Junction,Medium
8,Wednesday,3,1,0,Urban Road,Clear,9,67,40,Motorcycle,2,0,Wet,3,0,0,0,6,29,58,Intersection,High
20,Wednesday,3,1,0,Urban Road,Clear,8,41,40,Bus,2,7,Dry,9,0,0,0,8,24,60,T-Junction,Medium
3,Thursday,6,0,0,Urban Road,Rainy,3,64,40,Car,2,5,Dry,6,0,0,0,9,16,41,Y-Junction,Medium
21,Sunday,10,0,1,National Highway,Clear,2,35,80,Motorcycle,3,8,Wet,9,0,0,0,7,33,54,Intersection,Medium
13,Thursday,8,0,0,Residential,Rainy,5,39,40,Bus,1,0,Good,5,0,0,0,5,26,49,Intersection,Medium
17,Thursday,6,1,0,Urban Road,Rainy,4,10,40,Car,2,0,Dry,7,0,0,1,6,23,69,Intersection,Medium
17,Wednesday,2,1,0,Urban Road,Clear,6,14,40,Auto,2,14,Wet,6,0,1,1,6,24,79,T-Junction,High
21,Tuesday,2,0,0,Urban Road,Clear,4,31,40,Motorcycle,4,9,Good,12,0,1,0,7,29,85,Intersection,Medium
17,Wednesday,7,1,0,Residential,Cloudy,5,16,40,Motorcycle,1,4,Dry,6,0,0,1,7,20,88,No Junction,Low
17,Monday,1,1,0,Urban Road,Clear,6,10,40,Motorcycle,1,0,Dry,10,0,0,2,6,30,77,Y-Junction,Medium
5,Tuesday,1,0,0,Residential,Foggy,3,14,40,Bus,3,1,Wet,3,1,0,2,4,26,64,Roundabout,High
14,Thursday,7,0,0,Urban Road,Clear,10,33,40,Motorcycle,1,8,Wet,12,0,0,1,7,23,34,Intersection,Medium
7,Saturday,9,1,1,Urban Road,Clear,9,20,40,Auto,1,2,Good,10,0,0,0,7,23,74,T-Junction,Medium
18,Saturday,5,1,1,State Highway,Clear,5,49,60,Motorcycle,2,0,Dry,6,0,0,0,7,30,46,Intersection,Medium
14,Sunday,11,0,1,Urban Road,Rainy,1,29,40,Motorcycle,3,2,Wet,6,1,0,1,9,13,59,T-Junction,Medium
17,Friday,1,1,0,National Highway,Rainy,1,46,80,Motorcycle,1,0,Dry,11,0,0,0,6,24,62,Roundabout,Medium
4,Sunday,5,0,1,Highway,Foggy,1,45,80,Motorcycle,3,3,Wet,10,0,0,1,3,31,46,Intersection,High
6,Tuesday,11,0,0,Urban Road,Cloudy,6,32,40,Truck,2,2,Dry,7,0,0,1,7,27,48,No Junction,Medium
18,Thursday,1,1,0,Urban Road,Rainy,6,10,40,Car,4,8,Slippery,5,0,0,0,8,35,66,T-Junction,High
6,Tuesday,10,0,0,State Highway,Heavy Rain,5,10,60,Motorcycle,1,9,Wet,11,0,0,0,4,28,61,T-Junction,Medium
6,Tuesday,12,0,0,Residential,Clear,6,34,40,Motorcycle,2,2,Slippery,6,0,0,1,6,24,60,T-Junction,Medium
1,Saturday,9,0,1,Highway,Clear,3,23,80,Motorcycle,1,5,Wet,9,0,0,0,9,26,50,T-Junction,Low
22,Wednesday,4,0,0,Urban Road,Cloudy,7,11,40,Motorcycle,4,7,Wet,6,0,1,1,5,28,84,No Junction,High
18,Monday,9,1,0,Residential,Rainy,8,10,40,Car,1,11,Under Construction,7,1,1,1,8,23,33,No Junction,Medium
11,Friday,2,0,0,Urban Road,Rainy,4,50,40,Car,1,4,Dry,13,0,0,2,9,31,100,Intersection,Medium
9,Thursday,7,1,0,Urban Road,Rainy,6,10,40,Car,3,0,Dry,7,1,0,0,7,38,64,Y-Junction,Medium
10,Tuesday,12,1,0,Urban Road,Clear,9,10,40,Motorcycle,4,5,Wet,12,0,1,2,8,20,51,Intersection,High
19,Friday,2,1,0,Residential,Clear,8,10,40,Motorcycle,2,7,Slippery,3,0,0,0,7,31,33,No Junction,Medium
17,Tuesday,12,1,0,Urban Road,Clear,4,46,40,Car,4,6,Dry,3,0,0,1,9,23,41,Intersection,High
8,Saturday,4,1,1,Highway,Clear,8,47,80,Truck,2,6,Wet,9,0,0,0,9,23,68,T-Junction,Medium
7,Monday,6,1,0,Urban Road,Clear,7,34,40,Truck,1,7,Dry,5,0,0,1,7,25,56,Intersection,Medium
6,Saturday,2,0,1,Highway,Clear,3,62,80,Auto,3,8,Dry,7,0,1,0,5,24,37,T-Junction,High
17,Friday,2,1,0,Urban Road,Rainy,5,79,40,Bus,1,0,Dry,3,0,0,1,6,31,39,No Junction,Medium
18,Thursday,2,1,0,State Highway,Clear,6,10,60,Bus,2,2,Good,3,0,0,0,6,28,51,Intersection,Medium
9,Tuesday,3,1,0,Highway,Rainy,6,26,80,Bus,3,3,Under Construction,8,1,0,1,9,26,55,T-Junction,High
2,Monday,5,0,0,Highway,Clear,3,38,80,Auto,1,7,Dry,6,0,0,0,8,30,79,Intersection,Medium
6,Saturday,9,0,1,Highway,Clear,4,46,80,Motorcycle,2,2,Dry,6,1,0,0,7,30,53,Intersection,High
22,Friday,6,0,0,State Highway,Cloudy,2,33,60,Car,5,1,Dry,13,0,1,1,8,27,100,T-Junction,Medium
9,Saturday,12,1,1,Highway,Clear,1,42,80,Motorcycle,1,7,Dry,9,0,0,0,7,34,69,Intersection,Medium
18,Tuesday,9,1,0,National Highway,Cloudy,7,32,80,Bus,2,7,Under Construction,14,0,0,0,8,28,78,T-Junction,Medium
17,Tuesday,10,1,0,Urban Road,Foggy,8,26,40,Car,2,10,Dry,8,1,1,3,1,40,88,No Junction,High
11,Thursday,5,0,0,Urban Road,Cloudy,6,10,40,Bus,2,8,Dry,12,1,1,0,9,22,36,T-Junction,Medium
8,Monday,11,1,0,Highway,Foggy,9,30,80,Car,1,0,Dry,10,1,0,0,4,19,52,No Junction,High
7,Wednesday,6,1,0,Residential,Cloudy,3,18,40,Car,2,9,Dry,6,0,0,0,6,29,59,No Junction,Medium
17,Saturday,10,1,1,Residential,Clear,6,12,40,Truck,2,4,Wet,7,0,0,0,8,33,87,No Junction,Medium
19,Tuesday,12,1,0,Urban Road,Cloudy,8,10,40,Motorcycle,2,4,Slippery,6,0,1,3,6,25,64,No Junction,Medium
17,Friday,8,1,0,Urban Road,Rainy,7,31,40,Auto,3,5,Dry,11,0,0,0,8,23,66,No Junction,Medium
15,Saturday,3,0,1,Urban Road,Clear,3,10,40,Truck,2,10,Dry,8,0,1,2,9,28,82,Intersection,Medium
4,Thursday,2,0,0,Urban Road,Clear,5,59,40,Car,2,0,Wet,5,0,1,1,9,26,82,No Junction,High
22,Thursday,3,0,0,Urban Road,Clear,7,73,40,Auto,1,3,Slippery,4,1,0,1,8,26,95,T-Junction,High
19,Tuesday,9,1,0,Urban Road,Rainy,7,16,40,Auto,2,4,Dry,4,1,0,1,8,23,35,T-Junction,High
9,Tuesday,6,1,0,Residential,Foggy,7,10,40,Auto,1,1,Dry,5,0,1,2,4,24,53,No Junction,High
23,Tuesday,10,0,0,Urban Road,Clear,3,10,40,Truck,1,1,Dry,5,1,0,2,9,33,57,Y-Junction,Medium
16,Sunday,12,0,1,Urban Road,Clear,2,41,40,Auto,1,3,Wet,4,0,0,1,5,35,48,Roundabout,Medium
16,Wednesday,4,0,0,Urban Road,Clear,1,37,40,Car,1,0,Dry,11,0,0,0,5,27,73,Intersection,Medium
18,Tuesday,10,1,0,Highway,Clear,3,47,80,Motorcycle,2,7,Dry,3,1,0,2,8,21,78,T-Junction,High
19,Saturday,3,1,1,Urban Road,Clear,7,40,40,Car,2,8,Dry,9,1,0,0,7,21,29,Intersection,High
17,Saturday,2,1,1,Urban Road,Clear,5,10,40,Car,1,7,Wet,14,0,0,1,5,20,77,Y-Junction,Medium
7,Sunday,4,1,1,Highway,Rainy,5,20,80,Bus,2,4,Dry,8,1,0,0,9,33,51,T-Junction,High
10,Sunday,9,1,1,National Highway,Clear,7,10,80,Truck,1,8,Slippery,8,0,0,2,9,29,65,T-Junction,Medium
21,Monday,4,0,0,Urban Road,Clear,8,31,40,Auto,1,2,Wet,8,0,0,0,9,26,46,T-Junction,Medium
8,Friday,12,1,0,Urban Road,Cloudy,7,10,40,Bus,1,7,Wet,3,0,0,0,6,33,80,Y-Junction,Medium
11,Tuesday,5,0,0,State Highway,Clear,2,14,60,Car,1,6,Wet,9,0,0,0,6,30,46,No Junction,Low
12,Saturday,8,0,1,Highway,Rainy,4,27,80,Auto,2,0,Slippery,9,1,0,0,9,13,64,Intersection,Medium
12,Sunday,2,0,1,State Highway,Clear,5,47,60,Car,3,6,Good,7,0,0,0,5,23,76,No Junction,Medium
17,Saturday,12,1,1,Urban Road,Rainy,2,20,40,Car,1,6,Slippery,3,0,1,0,6,27,71,Y-Junction,Medium
22,Saturday,11,0,1,Residential,Clear,6,51,40,Car,2,13,Wet,13,0,0,0,7,38,48,Roundabout,Medium
8,Sunday,3,1,1,Residential,Rainy,4,10,40,Bus,2,3,Slippery,8,1,1,0,8,37,63,Intersection,High
7,Wednesday,6,1,0,National Highway,Rainy,9,10,80,Auto,3,6,Wet,4,0,1,0,6,14,63,Intersection,High
8,Sunday,12,1,1,Residential,Rainy,5,10,40,Motorcycle,1,12,Dry,4,0,0,2,6,20,78,Roundabout,Medium
20,Sunday,7,1,1,Urban Road,Clear,4,50,40,Auto,2,7,Dry,5,0,1,0,5,28,60,Intersection,Medium
17,Friday,4,1,0,Residential,Rainy,8,46,40,Motorcycle,1,8,Dry,12,1,0,0,5,31,59,Intersection,High
9,Sunday,1,1,1,Urban Road,Cloudy,4,45,40,Auto,4,1,Dry,7,0,1,1,7,24,59,T-Junction,High
19,Thursday,7,1,0,Residential,Clear,2,61,40,Motorcycle,2,4,Dry,7,0,0,0,7,31,36,T-Junction,Medium
20,Sunday,12,1,1,Highway,Foggy,5,22,80,Bicycle,1,7,Dry,6,0,0,1,3,24,83,No Junction,High
20,Saturday,9,1,1,Residential,Clear,9,10,40,Car,2,3,Good,11,0,0,0,7,24,88,T-Junction,Medium
21,Tuesday,1,0,0,Residential,Clear,3,31,40,Car,1,8,Dry,11,0,0,0,6,21,95,Y-Junction,Low
8,Saturday,1,1,1,State Highway,Rainy,2,10,60,Car,5,10,Wet,3,1,0,0,7,19,73,No Junction,Medium
18,Friday,1,1,0,Urban Road,Rainy,4,35,40,Car,3,13,Good,7,1,0,0,7,24,40,Intersection,High
13,Thursday,10,0,0,State Highway,Rainy,3,31,60,Motorcycle,2,12,Wet,7,0,0,1,9,34,26,No Junction,Medium
20,Sunday,7,1,1,Highway,Heavy Rain,9,10,80,Motorcycle,2,5,Wet,5,1,1,0,2,30,71,T-Junction,High
18,Wednesday,11,1,0,Highway,Heavy Rain,3,31,80,Bus,2,4,Slippery,6,1,0,0,2,29,50,No Junction,High
19,Monday,9,1,0,Urban Road,Cloudy,6,10,40,Car,2,5,Dry,7,0,0,1,6,26,57,T-Junction,Medium
17,Sunday,3,1,1,Residential,Rainy,3,36,40,Auto,2,0,Dry,4,0,0,0,8,30,60,No Junction,Low
7,Tuesday,8,1,0,Residential,Clear,7,10,40,Bus,1,5,Under Construction,8,0,0,1,7,25,70,Roundabout,Low
15,Monday,9,0,0,Residential,Clear,7,29,40,Truck,1,3,Dry,8,0,0,0,7,23,54,Roundabout,Low
23,Wednesday,3,0,0,Urban Road,Rainy,5,39,40,Bicycle,3,0,Under Construction,9,0,0,0,7,31,79,Intersection,Medium
22,Friday,12,0,0,Residential,Rainy,5,13,40,Car,1,7,Dry,6,0,0,1,5,24,50,Roundabout,Low
4,Friday,12,0,0,Highway,Heavy Rain,2,36,80,Bicycle,2,0,Wet,3,0,0,1,4,21,59,Y-Junction,Medium
7,Wednesday,3,1,0,Urban Road,Rainy,6,24,40,Car,2,2,Wet,5,0,0,0,5,30,78,Intersection,Medium
7,Saturday,1,1,1,Highway,Clear,6,10,80,Car,2,10,Good,4,0,0,3,8,19,58,No Junction,Medium
18,Wednesday,2,1,0,Residential,Rainy,9,25,40,Motorcycle,1,5,Dry,7,0,0,1,7,30,92,No Junction,Medium
19,Sunday,7,1,1,Urban Road,Clear,3,64,40,Truck,1,6,Good,9,0,1,1,6,30,50,No Junction,Medium
8,Tuesday,3,1,0,Urban Road,Clear,5,23,40,Car,2,10,Wet,13,0,0,2,6,20,85,T-Junction,High
14,Thursday,7,0,0,Residential,Rainy,5,55,40,Motorcycle,2,9,Slippery,5,0,1,0,9,20,40,T-Junction,Medium
20,Sunday,5,1,1,Urban Road,Clear,8,21,40,Car,1,12,Wet,8,0,1,0,5,35,55,Y-Junction,High
18,Sunday,10,1,1,State Highway,Foggy,4,22,60,Car,2,5,Dry,8,1,0,1,4,31,80,T-Junction,High
15,Sunday,8,0,1,Urban Road,Clear,8,26,40,Auto,2,10,Slippery,12,0,0,0,9,30,99,Intersection,Medium
16,Monday,5,0,0,Highway,Rainy,3,36,80,Motorcycle,2,1,Dry,8,0,0,0,8,29,75,No Junction,Low
14,Monday,3,0,0,National Highway,Rainy,2,49,80,Car,1,7,Dry,6,0,0,0,6,32,80,No Junction,Low
9,Friday,9,1,0,Highway,Foggy,6,26,80,Motorcycle,1,0,Slippery,7,0,0,3,3,32,75,Intersection,High
16,Sunday,7,0,1,Residential,Cloudy,2,65,40,Car,1,6,Good,9,0,0,2,6,23,61,No Junction,Medium
17,Saturday,5,1,1,Urban Road,Clear,6,10,40,Car,1,10,Wet,10,0,0,1,6,26,20,Intersection,Medium
20,Friday,7,1,0,Urban Road,Foggy,8,10,40,Motorcycle,3,5,Wet,13,0,0,2,3,25,48,No Junction,High
17,Tuesday,11,1,0,Residential,Clear,8,35,40,Car,2,4,Wet,12,0,0,0,6,31,52,Intersection,High
18,Wednesday,10,1,0,Highway,Cloudy,8,16,80,Truck,4,6,Under Construction,5,0,0,0,8,29,45,Intersection,Medium
7,Monday,9,1,0,State Highway,Cloudy,6,19,60,Motorcycle,1,0,Good,3,0,1,0,7,35,34,Roundabout,Low
13,Sunday,5,0,1,Urban Road,Foggy,4,10,40,Car,2,0,Wet,4,0,1,2,2,29,97,Intersection,High
0,Tuesday,7,0,0,Urban Road,Clear,1,78,40,Motorcycle,3,9,Dry,8,0,0,1,9,28,52,T-Junction,Medium
8,Friday,11,1,0,Residential,Clear,4,17,40,Motorcycle,2,7,Dry,11,0,0,0,6,32,37,No Junction,Medium
18,Friday,9,1,0,Highway,Clear,8,21,80,Motorcycle,2,2,Dry,7,0,1,2,5,32,100,No Junction,High
23,Monday,1,0,0,Urban Road,Clear,4,27,40,Car,2,1,Under Construction,5,0,1,0,5,35,85,No Junction,Medium
6,Friday,4,0,0,State Highway,Rainy,4,51,60,Car,1,8,Good,3,0,0,1,5,29,46,T-Junction,Medium
12,Saturday,1,0,1,Residential,Clear,4,56,40,Motorcycle,5,2,Slippery,12,1,1,1,8,40,48,Intersection,High
19,Friday,8,1,0,Urban Road,Clear,2,14,40,Truck,1,1,Good,6,0,1,2,9,33,38,No Junction,Medium
8,Thursday,3,1,0,Residential,Cloudy,7,50,40,Car,2,8,Dry,3,0,1,1,5,40,35,Y-Junction,High
15,Wednesday,2,0,0,National Highway,Cloudy,4,10,80,Auto,4,0,Wet,7,0,0,1,8,28,49,Y-Junction,Medium
18,Friday,4,1,0,Highway,Cloudy,8,14,80,Car,4,1,Wet,8,1,0,1,9,41,75,Intersection,High
17,Thursday,11,1,0,Urban Road,Clear,6,10,40,Car,4,11,Wet,10,0,0,0,7,32,92,Y-Junction,High
8,Tuesday,3,1,0,Urban Road,Clear,5,38,40,Car,2,6,Wet,4,0,0,0,8,21,88,Intersection,Medium
11,Friday,11,0,0,State Highway,Clear,4,70,60,Auto,1,5,Dry,11,0,0,0,5,22,89,T-Junction,Medium
19,Saturday,5,1,1,Residential,Rainy,3,38,40,Auto,2,7,Wet,11,0,0,0,6,26,62,Roundabout,Medium
15,Tuesday,8,0,0,State Highway,Cloudy,7,17,60,Auto,2,11,Slippery,8,0,0,1,8,26,77,Roundabout,Medium
0,Sunday,10,0,1,National Highway,Rainy,4,21,80,Bus,2,7,Under Construction,9,0,0,0,7,30,72,No Junction,Medium
18,Friday,8,1,0,Urban Road,Rainy,9,52,40,Car,2,4,Slippery,10,0,0,0,9,38,65,No Junction,High
3,Monday,11,0,0,Highway,Foggy,6,15,80,Truck,3,2,Dry,6,0,1,0,2,29,88,T-Junction,High
18,Thursday,7,1,0,Urban Road,Clear,5,10,40,Car,2,4,Wet,3,0,0,0,9,21,78,No Junction,Low
8,Thursday,8,1,0,Urban Road,Clear,7,10,40,Motorcycle,3,1,Dry,6,0,0,0,8,30,69,Y-Junction,Medium
22,Monday,5,0,0,Residential,Clear,5,25,40,Car,5,5,Dry,3,0,0,1,9,25,49,T-Junction,High
11,Wednesday,10,0,0,State Highway,Rainy,6,18,60,Motorcycle,3,3,Wet,9,0,0,0,5,25,91,T-Junction,Medium
10,Sunday,10,1,1,Urban Road,Heavy Rain,7,10,40,Bus,3,16,Dry,12,0,0,0,5,26,39,No Junction,Medium
7,Saturday,11,1,1,Urban Road,Cloudy,5,21,40,Truck,3,7,Wet,5,0,0,0,6,25,36,T-Junction,High
9,Thursday,12,1,0,State Highway,Clear,8,18,60,Motorcycle,3,3,Dry,6,1,0,0,7,20,20,T-Junction,High
20,Tuesday,11,1,0,Urban Road,Clear,7,22,40,Truck,1,8,Dry,7,0,0,1,7,28,63,No Junction,Medium
23,Saturday,6,0,1,Urban Road,Clear,2,10,40,Motorcycle,5,2,Wet,14,0,0,0,8,38,72,Y-Junction,Medium
